Product Title,Seller SKU Id,Sub-category,Listing Status,MRP,Your Selling Price,Fulfillment By,System Stock count,Procurement SLA,Procurement Type,Package Length - Length of the package in cms,Package Breadth - Breadth of the package in cms,Package Height - Height of the package in cms,Package Weight - Weight of the package in Kgs,Local Delivery Charge to Customer (per qty),Zonal Delivery Charge to Customer (per qty),National Delivery Charge to Customer (per qty),Harmonized System Nomenclature - HSN,Tax Code,Country of Origin ISO code,Listing Archival
"The Defender (English, Paperback, Huang Ana)","The Defender  (English, Paperback, Huang Ana)",book,ACTIVE,999,417,Seller,20,1,express,15,3,20,0.5,0,0,0,49011010,GST_0,IN,NONE
"The Ex (Paperback, Freida McFadden)","The Ex  (Paperback, Freida McFadden)",book,ACTIVE,921,286,Seller,20,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"THE EX (Paperback, FREIDA McFADDEN)",THE EX,book,ACTIVE,921,281,Seller,20,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"THE EX (Paperback, FREIDA McFADDEN)","THE Ex  (Paperback, FREIDA McFADDEN)",book,ACTIVE,921,281,Seller,20,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Hidden Hindu 1 & 2 | Akshat Gupta | Secrets Revealed | Ancient Beliefs | Mythological Tales | Intriguing Adventure | Set of 2 Marathi Books (Paperback, Akshat Gupta, Mukta Deshpande)",The Hidden Hindu 1 & 2 Marathi,book,ACTIVE,600,438,Seller,50,1,express,15,3,20,0.5,0,0,0,49011010,GST_0,IN,NONE
"The Hidden Hindu Combo (Marathi, Paperback, GUPTA AKSHAT)",The Hidden Hindu Marathi Combo of 3,book,ACTIVE,810,656,Seller,15,1,express,15,3,25,0.7,0,0,0,49011010,GST_0,IN,NONE
"The Housemaid Series 3 Books Collection (The Housemaid, The Housemaid's Secret & The Housemaid Is Watching (Paperback, FRIEDA MCFADDEN)",The Housemaid + The Housemaid Secret & The Housemaid Is Watching,book,ACTIVE,1599,611,Seller,19,1,express,19,17,6,0.8,0,0,0,49011010,GST_0,IN,NONE
"The Housemaid's Secret (English, Paperback, McFadden Freida)",The Housemaid's Secret,book,ACTIVE,850,333,Seller,20,1,express,15,3,20,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Hunger Games 4 Book Paperback Box Set (English, Paperback, Collins Suzanne)",The Hunger games 4 ,book,ACTIVE,3099,998,Seller,20,1,express,15,20,3,0.8,0,0,0,49011010,GST_0,IN,NONE
"The Hunger Games Collection 4 Books Set by Suzanne Collins (Paperback, Suzanne Collins)",The Hunger games,book,ACTIVE,1899,998,Seller,20,1,express,15,20,3,0.9,0,0,0,49011010,GST_0,IN,NONE
"The Hunger Games Collection, The Hunger Games, The Hunger Games Catching Fire, The Hunger Games Mockingjay, The Ballad of Songbirds and Snakes, Suzanne Collins, Paperback, English (Paperback, Suzanne Collins)",The Hunger Games Collection,book,ACTIVE,1899,970,Seller,20,1,express,15,3,25,1.5,0,0,0,49011010,GST_0,IN,NONE
"The India Way (English, Paperback, Jaishankar S.)","The India Way  (English, Paperback, Jaishankar S.)",book,ACTIVE,499,335,Seller,10,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"The India Way, English (Paperback, JaishankarS.)","The India Way, English  (Paperback, JaishankarS.)",book,ACTIVE,1600,285,Seller,20,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"The India Way, English (Paperback, JaishankarS.)","The India Way (English, Paperback, JaishankarS.)",book,ACTIVE,1600,281,Seller,20,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Intelligent Investor (English, Paperback, Graham Benjamin)",The Intelligent Investor,book,ACTIVE,1134,410,Seller,30,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Intelligent Investor (Paperback, Graham Benjamin)",The Intelligent Investor ,book,ACTIVE,1198,500,Seller,20,1,express,15,3,20,0.5,0,0,0,49011010,GST_0,IN,NONE
"The Intelligent Investor + Atomic Habits + Deep Work + Who Will Cry When You Die + Man's Searching For Meaning (4 Book Combo) (Paperback, JMD BOOKS)",Intelligentinvestor+Deepwork+Mansseachfor+Atomic+Whollcrywhen,book,ACTIVE,1999,849,Seller,20,1,express,15,20,3,0.4,0,0,0,49011010,GST_0,IN,NONE
"The Intelligent Investor + The Psychology of The Money Combo Book Set Paperback – 31 December 2024 (Paperback, BENJAMIN, MORGAN)",The Intelligent investor+Psychology of Money,book,ACTIVE,1198,478,Seller,20,1,express,15,20,3,0.7,0,0,0,49011010,GST_0,IN,NONE
"The Laws of Human Nature (English, Paperback, Greene Robert)",The Laws of Human nature,book,ACTIVE,999,900,Seller,20,1,express,15,20,3,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Laws of Human Nature (English, Paperback, Greene Robert)",The Laws of Human Nature,book,ACTIVE,901,464,Seller,20,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Lean Startup By ERIC RIES AND ( The E myth Revisited Why Most Small Businesses Don't Work and What to Do About it by Michael E. Gerber) (Paperback, ERIC RIES)",The Lean Startup and The E myth Revisited,book,ACTIVE,599,595,Seller,19,1,express,15,3,20,0.2,0,0,0,49011010,GST_0,IN,NONE
"The Millionaire Fastlane (English, Electronic book text, DeMarco Mj)",The Millionaire Fastlane (English),book,ACTIVE,999,288,Seller,11,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Millionaire Fastlane (English, Paperback, DeMarco MJ)","The Millionaire Fastlane  (English, Paperback)",book,ACTIVE,1578,336,Seller,18,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Millionaire Fastlane (Paperback, Demarco M.J.)","The Millionaire Fastlane  (Paperback, Demarco M.J.)",book,ACTIVE,459,281,Seller,20,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Millionaire Fastlane (Paperback, MJ DeMarco)","The Millionaire Fastlane  (Paperback, MJ DeMarco)",book,ACTIVE,599,280,Seller,20,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Millionaire Fastlane: Crack The Code To Wealth And Live Rich For A Lifetime (Paperback, M. J. DeMarco)","The Millionaire Fastlane (Paperback, M. J. DeMarco)",book,ACTIVE,999,280,Seller,20,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Naturals Paperback Boxed Set (English, Paperback, Barnes Jennifer Lynn)",The Naturals boxed,book,ACTIVE,4176,998,Seller,20,1,express,17,20,5,1.1,0,0,0,49011010,GST_0,IN,NONE
"The Outsiders (English, Hardcover, Thorndike William N)",The Outsiders ,book,ACTIVE,3759,461,Seller,0,1,instock,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Outsiders (English, Hardcover, Thorndike William N.)","The Outsiders  (English, Hardcover, Thorndike William N.)",book,ACTIVE,1399,1222,Seller,0,1,express,15,3,20,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Outsiders (Hardcover, WILLIAM N THORNDIKE)","The Outsiders  (Paperback, WILLIAM THORNDIKE)",book,ACTIVE,499,428,Seller,0,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"The Outsiders (Hardcover, WILLIAM N THORNDIKE)",The Outsiders,book,ACTIVE,499,455,Seller,0,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
